Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
1772798777,"Aug 15, 2018, 1:04:11 AM",Night Run,Run,,407,0.48,,,false,,activities/1772798777.gpx,0.0,,407.0,315.0,480.8999938964844,2.5,,0.0,,1.899999976158142,3.0,1.7999999523162842,0.18714909255504608,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778822133,"Aug 17, 2018, 5:39:14 PM",Afternoon Run,Run,,1220,3.68,,,false,,activities/1778822133.gpx,0.0,,1220.0,1204.0,3686.0,6.199999809265137,,0.0,,1.7999999523162842,3.4000000953674316,2.4000000953674316,-0.002712968038395047,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790692126,"Aug 20, 2018, 8:59:20 PM",Afternoon Run,Run,,1481,4.51,176.0,58,false,,activities/1790692126.gpx,0.0,,1481.0,1417.0,4512.826171875,8.399999618530273,,6.971428394317627,,-3.5,8.899999618530273,12.800000190734863,-0.17505761981010437,,,,,176.0,166.02822875976562,,,0.0,,,58.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790692160,"Aug 22, 2018, 10:10:55 AM",Morning Run,Run,,1380,4.05,200.0,69,false,,activities/1790692160.gpx,0.0,,1380.0,1329.0,4052.405029296875,8.899999618530273,,6.5660319328308105,,-3.5,6.599999904632568,30.100000381469727,-0.08647740632295609,,,,,200.0,173.853271484375,,,0.0,,,69.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791914323,"Aug 23, 2018, 11:52:38 AM",Morning Run,Run,,1073,3.26,176.0,52,false,,activities/1791914323.gpx,0.0,,1073.0,1058.0,3264.042724609375,12.0,,10.372420310974121,,-3.5,3.200000047683716,14.800000190734863,-0.05514705926179886,,,,,176.0,169.33364868164062,,,0.0,,,52.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807241015,"Aug 30, 2018, 11:01:49 AM",Morning Run,Run,,1305,4.01,184.0,53,false,,activities/1807241015.gpx,0.0,,1305.0,1297.0,4016.290771484375,12.699999809265137,,9.770039558410645,,-3.5,4.0,17.0,-0.04232751578092575,,,,,184.0,165.71163940429688,,,0.0,,,53.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820858369,"Sep 5, 2018, 11:54:11 AM",Morning Run,Run,,1483,4.21,180.0,54,false,,activities/1820858369.gpx,0.0,,1483.0,1454.0,4217.23388671875,11.5,,7.949999809265137,,-4.0,5.0,13.600000381469727,-0.07595176994800568,,,,,180.0,161.72421264648438,,,0.0,,,54.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839912671,"Sep 13, 2018, 10:46:00 PM",Evening Run,Run,,1595,4.58,175.0,57,false,,activities/1839912671.gpx,0.0,,1595.0,1563.0,4587.978515625,4.900000095367432,,7.72857141494751,,-2.700000047683716,8.300000190734863,21.399999618530273,-0.17218831181526184,,,,,175.0,162.48497009277344,,,0.0,,,57.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855042653,"Sep 20, 2018, 7:40:00 PM",Afternoon Run,Run,,1570,4.55,181.0,55,false,,activities/1855042653.gpx,0.0,,1570.0,1503.0,4552.88232421875,10.800000190734863,,6.473610877990723,,-3.4000000953674316,8.100000381469727,9.699999809265137,-0.11860572546720505,,,,,181.0,163.36793518066406,,,0.0,,,55.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861677737,"Sep 22, 2018, 12:10:36 PM",Morning Run,Run,,1488,4.20,162.0,32,false,,activities/1861677737.gpx,0.0,,1488.0,1444.0,4202.64990234375,6.300000190734863,,3.174999952316284,,-2.0,8.699999809265137,27.0,-0.0975586548447609,,,,,162.0,148.00831604003906,,,0.0,,,32.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
